,Unnamed: 0,Ad_id,User_id,Judul,Kategori,Harga,Deskripsi,Alamat,Kecamatan,Kab/Kota,LAT,LON
60,60,813462683,38241015,Dijual Harga Miring !! NEGO sampai DEAL!!,5158,Rp 600.000.000,"Nego sampai DEAL!! Dijual cepat rumah harga miring. Lokasi di perumahan Griya Alam Pecatu. Lokasi strategis dekat Pecatu Graha. GWK, Blue Point, Pandawa Beach, Suluban Beach, Balangan Beach, Universitas Udayana. Hanya 30 menit dari Ngurah Rai International Airport. Banyak bule sewa tahunan di kompleks ini. Aslinya 2 kamar tidur tapi dijadikan satu supaya lebih besar. Banyak disukai.","Griya Alam Pecatu, Arjuna Cluster Blok C2 No. 17, Pecatu, Kuta Selatan, Badung, Bali",Kuta Selatan,Kab. Badung,-8.8207682,115.1437589
62,62,815277413,61910220,Rumah baru lantai 2 denpasar timur dkt penatih sanur ida bagus mantra,5158,Rp 590.000.000,"Dijual Rumah Baru Lantai2 di Jalan Nuansa Sandat Biaung Tohpati Denpasar Timur Dekat Objek Wisata Kertalangu & Pantai Biaung  One Gate System Security 24 Hours   Fasilitas Umum : Sekolah & Pasar  Luas Tanah 50m2  Luas Bangunan 60m2  3 Kamar Tidur 2 Kamar Mandi Dapur Ruang Tamu Akses Jalan 4,5 Meter Paving Carport Air Sumur Bor  Listrik 1300Watt SHM IMB  #Harga Rp 590 Juta Nego  Noted : - Payment Cash & Kredit DP Minimal 20 % Dapatkan potongan khusus untuk 5 unit pertama !!",Denpasar,Denpasar Timur,Denpasar Kota,-8.670458199999999,115.2126293
63,63,805407209,66204183,Dijual unit rumah ekslusive one gate system with fasum murah jimbaran,5158,Rp 2.027.520.000,THERAPEUTIC LIVING HAS COMING TO JIMBARAN HIJAU  FASE 1 ALREADY SOLD UNIT NOW OPEN at FASE 2  Cluster 2 floor with facility and one gate system start 1 bilion in Jimbaran Bali  CLUSTER DAMARA VILLAGE  Development by GREEN WOODS & JIMBARAN HIJAU  Easy access to everywhere * 1 minute to Asian Intercultural school by Gandhi School * 5 minute to GWK  * 5 minute to Movenpick / Samasta * 5 minute to Ayana Resort & Rockbar * 15 minute to International Airport Ngurah Rai  * 15 minute to Toll Bali Mandara  LIMITED OFFER ( Free AC & KITCHEN SET ) Book now and get very special early bird price and promo  Commitment fee 25 jt ( REFUNDABLE ) untuk 20 pendaftar pertama  For further info  Dhany RFauzi Telp. / Whatsapp  GRAB AND ENJOY YOUR THERAPEUTIC HOME NOW,Komplek Puri Gading Jimbaran,Kuta Selatan,Kab. Badung,-8.803213999999999,115.153743
64,64,815302083,92007239,JUAL KOS2AN BULUH INDAH DENPASAR,5158,Rp 1.650.000.000,"DIJUAL KOS PALING MURAH di DENPASAR BARAT, JALAN RAYA BULUH INDAH HANYA MASUK 150 METER Area Gatsu barat.   LUAS TANAH: 2,5are / 250 M²  LUAS BANGUNAN: 225 M²  Kamar tidur: 10  Kamar mandi dalam: 10  Air sumur bor  Meteran Listrik ada di masing2 kamar  Dapur di masing2 kamar  SHM  NO IMB  AKSES JALAN LC 8 METER ASPAL  Hadap selatan   Harga sewa kosongan: 800ribu/bulan  HARGA JUAL: 1,650 MILYARD NEGOOOO",JALAN BULUH INDAH DENPASAR,Denpasar Barat,Denpasar Kota,-8.6440668,115.196027
67,67,815295687,107863131,Best villa komplek di jual  view sawah lokasi tanah lot kedungu tbanan,5158,Rp 7.000.000.000,"*Dijual kompleks private villa dengan konsep Back To Nature yang Berlokasi di area sedang berkembang pantai kedungu tabanan. Dengan view sawah, gunung dan laut. Suasana yang aman, nyaman dan tenang*  *Spesifikasi :*  • Luas tanah : 1.175 m2 • SHM/freehold/aspek • IMB, IZIN USAHA, IZIN pondok wisata • 4 unit villa dengan masing2 :  2 king size bedroom with AC 2 bathroom ( hot & cold water ) open living room open kitchen garden  • Akses jalan private 4 meter • Garase 4 mobil • Pool • Kitchen area • Security post • Office • Listrik : 15.000 watt • Air : PDAM • Internet • Full Furnish  *5 menit ke pantai kedungu* *25 menit ke canggu*  *Saat ini ada penyewa menyewa 2 unit villa*  *Harga sewa per unit villa +- Rp 150 jt/tahun* Kr *Harga : Rp 7 miliar global nego owner*",Kendungu tanah lot tabanan bali,Kuta Utara,Kab. Badung,-8.621213,115.086807
68,68,799389625,105203911,RUMAH TERMURAH DEKAT TANAHLOT DAN CANGGU FULL BONUS BEBAS BIAYA2,5158,Rp 360.000.000,"Kapan lg Memiliki Hunian Termurah dan Terdekat ke Tanahlot serta Canggu dengan Berbagai Keuntungan Melimpah??  Sekarang saatnya !!!  * Harga Perdana  * Cashback Puluhan Juta  * Dp 10%   * Bebas Biaya-Biaya   * Full Bonus  * Lingkungan Resort  dengan View Sawah   * Spesifikasi Bangunan Terbaik di  Kelasnya  Dan semuanya bisa didapatkan hanya dengan 300jt'an   Tersedia tipe 36/70 dan 45/80 sesuai dengan kebutuhan  Jangan tunda lagi, segera pilih unitnya",Nyitdah,Kediri,Tabanan Kab.,-8.5837149,115.1148004
69,69,812345008,38275298,"Villa Murah di Bali, Lokasi Seminyak Batu Belig  #villamurahdibali",5158,Rp 15.000.000.000,Dijual Villa dalam komplek manajemen lokasi Seminyak Batu Belig Petitenget Bali  Luas 610 M2 Luas bangunan 300 M2 3 kamar tidur 3 kamar mandi Kolam renang Kitchen Gazebo Jacuzzi PDAM listrik 7700 watt Security gate 50 meter ke pantai batu belig Lahan parkir SHM & IMB  Harga 15 M nego,"Seminyak, Batu Belig",Kuta Utara,Kab. Badung,-8.674109099999999,115.1458743
70,70,815293490,22861452,Dijual rumah style villa renon tukad badung,5158,Rp 4.200.000.000,Lt 196m2 Lb 300 4kt 4km Dapur Kolam renang Full furnish Siapa cepat dia dapat. Info selanjutnya langaung chat ya. Tanpa perantara. Langsung owner,Jl tukad badung renon,Denpasar Selatan,Denpasar Kota,-8.6863546,115.237979
71,71,815292788,108375762,Di juak villa modern murah lokasi kerobokan umalas bali,5158,Rp 8.500.000.000,"5 BEDROOM VILLA FOR SALE located, at Kerobokan - bali  land size 500 sqm build size 300 sqm 5 bedroom 5 bathroom swimming pool fully furnished livingroom dinningroom kitchen garage shm / freehold electric 7700 watt drill well access road 3,5 mtr  price : idr : 8,5 billion / negotiable Isf","Kerobokan,umalas bali",Kuta Utara,Kab. Badung,-8.6679862,115.1640664
72,72,812089192,38275298,"Villa Murah di Bali, Lokasi Umalas Bumbak #villamurahdicanggu",5158,Rp 7.000.000.000,"Villa dijual Bumbak, Umalas - Seminyak Luas tanah 410 m² Luas bangunan 395 m² 3 kamar tidur 3 Kamar Mandi * Ruang Tamu * Ruang Makan * Dapur * Kolam 4mx9m  * Berperabot  # SHM + IMB #  Harga Nego",Umalas Bumbak Bali,Kuta Utara,Kab. Badung,-8.6590759,115.1500624
